Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
FINANCIAL ACCOUNTING,"Behrend, Matthew J","['T', 'Th']",14:00 - 15:15,TRUS 303,ACCT,2301,1,EXCHANGE ELIGIBLE,40564
FINANCIAL ACCOUNTING,"Behrend, Matthew J","['T', 'Th']",11:00 - 12:15,TRUS 203,ACCT,2301,2,EXCHANGE ELIGIBLE,40565
MANAGERIAL ACCOUNTING,"Nketia, Joseph","['M', 'W', 'F']",11:00 - 11:50,TRUS 203,ACCT,2303,1,EXCHANGE ELIGIBLE,40566
MANAGERIAL ACCOUNTING,"Nketia, Joseph","['M', 'W', 'F']",12:00 - 12:50,TRUS 203,ACCT,2303,2,EXCHANGE ELIGIBLE,40567
INTERMEDIATE ACCOUNTING I,"Huff, Gary","['M', 'W']",17:00 - 18:15,TRUS 211,ACCT,3331,1,,40568
INTERMEDIATE ACCOUNTING I,"Lopez, Katherine Jami-Lenee","['T', 'Th']",09:30 - 10:45,MOOD 303,ACCT,3331,2,,40569
COST ACCOUNTING,"Nketia, Joseph","['M', 'W']",14:00 - 15:15,TRUS 215,ACCT,3333,1,,40570
AUDITING,"Tedesco, Fred","['M', 'W']",15:30 - 16:45,TRUS 216,ACCT,4343,1,,40571
ACCOUNTING INFORMATION SYSTEMS,"Behrend, Matthew J","['T', 'Th']",09:30 - 10:45,TRUS 205,ACCT,4346,1,,40572
ACCOUNTING INTERNSHIP,"Elley, Michelle Daley",[],,None None,ACCT,4350,1,INTERNSHIP,40573
RESEARCH IN ACCOUNTING,"Behrend, Matthew J",[],,None None,ACCT,4357,1,RESEARCH,40574
ACCOUNTING THEORY &amp; PRACTICE,,[],09:00 - 11:50,None None,ACCT,6309,1,,40542
ADVANCED ACCOUNTING PROBLEMS,"Allison, John Leslie",[],13:00 - 15:50,None None,ACCT,6310,1,,40543
ACCOUNTING FOR MANAGERS,"Gonzalez de la Fuente, Jesus Mario",[],13:00 - 15:50,None None,ACCT,6315,1,,40657
FINANCIAL STATEMENT ANALYSIS,"Xie, Jane Qian",[],13:00 - 15:50,TRUS 305,ACCT,6316,1,,40659
AUDITING,,[],09:00 - 11:50,None None,ACCT,6343,1,,40544
FOUNDATIONS IN ANIMATION,"Stern, Jeanne Ellen Ganung","['M', 'W']",14:30 - 16:20,LIBR 115,ANIM,3328,1,EXCHANGE ELIGIBLE,40272
COMPOSITING &amp; VISUAL EFFECTS,"Byrne, Bill","['M', 'W']",12:00 - 13:50,MOOD 301,ANIM,4335,1,EXCHANGE ELIGIBLE,40274
PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS I,"Shpall, Cayenne Sarah",['W'],19:00 - 20:30,None None,EDBA,6301,1,,40062
PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS I,"O&#39;Toole, Cyndi",['T'],19:00 - 20:30,None None,EDBA,6301,2,,40063
FOUNDATION-BEHAVIORAL ANALYSIS,"Shpall, Cayenne Sarah",['W'],19:00 - 20:30,None None,EDBA,6302,1,,40064
FOUNDATION-BEHAVIORAL ANALYSIS,"Shpall, Cayenne Sarah",['T'],19:00 - 20:30,None None,EDBA,6302,2,,40065
CHILD DEVELOPMENT: A BEHAVIORAL SYSTEMS APPROACH,"O&#39;Toole, Cyndi",['W'],19:00 - 20:30,None None,EDBA,6309,1,,40066
CHILD DEVELOPMENT: A BEHAVIORAL SYSTEMS APPROACH,"O&#39;Toole, Cyndi",['T'],19:00 - 20:30,None None,EDBA,6309,2,,40067
FUNCTIONAL BEHAVIOR ASSESSMENT,"O&#39;Toole, Cyndi",['Th'],19:00 - 20:30,None None,EDBA,6314,1,,40068
DEVELOPMENT OF APPLIED BEHAVIORAL ANALYSIS INTERVENTION PROGRAMS,"Oshinski, Molly",['Th'],19:00 - 20:30,None None,EDBA,6315,1,,40069
ORGANIZATIONAL BEHAVIOR MANAGEMENT,"Watson, Jacob Ray",['W'],19:00 - 20:30,None None,EDBA,6316,1,,40070
ORGANIZATIONAL BEHAVIOR MANAGEMENT,"Watson, Jacob Ray",['T'],19:00 - 20:30,None None,EDBA,6316,2,,40071
FOUNDATION ART &amp; DESIGN,"Phan, Tuan Duc","['T', 'Th']",12:30 - 14:20,ARTS 113,ARTS,1311,1,EXCHANGE ELIGIBLE,40275
FOUNDATION DRAWING,"Lai, Renee Hoi Yee","['M', 'W']",09:00 - 10:50,ARTS 114,ARTS,1316,1,EXCHANGE ELIGIBLE,40276
FOUNDATION DRAWING,"Haughey, Donald J.","['M', 'W']",11:00 - 12:50,ARTS 114,ARTS,1316,2,EXCHANGE ELIGIBLE,40277
FOUNDATION DRAWING,"Arzac, Sergio Arturo","['M', 'W']",15:00 - 16:50,ARTS 114,ARTS,1316,3,GE CREATIVITY AND MAKING,40278
FOUNDATION DRAWING,"Arzac, Sergio Arturo","['M', 'W']",17:00 - 18:50,ARTS 114,ARTS,1316,4,EXCHANGE ELIGIBLE,40279
FOUNDATION DRAWING,"Fagan, Sarah Emily","['M', 'W']",13:00 - 14:50,ARTS 114,ARTS,1316,5,EXCHANGE ELIGIBLE,40280
CLAY: HANDBUILDING,"Hassin, Jennifer","['M', 'W']",12:00 - 13:50,ARTS 116,ARTS,1318,1,EXCHANGE ELIGIBLE,40281
CLAY: HANDBUILDING,"Hassin, Jennifer","['M', 'W']",14:30 - 16:20,ARTS 116,ARTS,1318,2,EXCHANGE ELIGIBLE,40282
ART HISTORY I,"Brantl, Mary K.","['M', 'W', 'F']",09:00 - 09:50,MOOD 208,ARTS,2303,1,EXCHANGE ELIGIBLE,40283
ARTISTIC PASTS &amp; THEIR USES,"Brantl, Mary K.","['T', 'Th']",14:00 - 15:15,MOOD 208,ARTS,2308,1,EXCHANGE ELIGIBLE,40285
MODERNISTS &amp; OTHERS,"Brantl, Mary K.","['M', 'W', 'F']",11:00 - 11:50,MOOD 208,ARTS,2322,1,EXCHANGE ELIGIBLE,40286
SCULPTURE: MATERIALS,"Hassin, Jennifer","['T', 'Th']",12:30 - 14:50,ARTS 116,ARTS,2326,1,EXCHANGE ELIGIBLE,40539
DRAWING: METHODS,"Robinson, Alexandra","['T', 'Th']",09:00 - 11:20,ARTS 114,ARTS,2332,1,EXCHANGE ELIGIBLE,40540
CLAY: WHEEL THROWING,"Moseley, Britt","['T', 'Th']",09:00 - 10:50,ARTS 116,ARTS,2347,1,EXCHANGE ELIGIBLE,40287
