Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
FINANCIAL ACCOUNTING,"Behrend, Matthew J","T, Th",14:00 - 15:15,TRUS 303,ACCT,2301,01,EXCHANGE ELIGIBLE,40564
FINANCIAL ACCOUNTING,"Behrend, Matthew J","T, Th",11:00 - 12:15,TRUS 203,ACCT,2301,02,EXCHANGE ELIGIBLE,40565
MANAGERIAL ACCOUNTING,"Nketia, Joseph","M, W, F",11:00 - 11:50,TRUS 203,ACCT,2303,01,EXCHANGE ELIGIBLE,40566
MANAGERIAL ACCOUNTING,"Nketia, Joseph","M, W, F",12:00 - 12:50,TRUS 203,ACCT,2303,02,EXCHANGE ELIGIBLE,40567
INTERMEDIATE ACCOUNTING I,"Huff, Gary","M, W",17:00 - 18:15,TRUS 211,ACCT,3331,01,,40568
INTERMEDIATE ACCOUNTING I,"Lopez, Katherine Jami-Lenee","T, Th",09:30 - 10:45,MOOD 303,ACCT,3331,02,,40569
COST ACCOUNTING,"Nketia, Joseph","M, W",14:00 - 15:15,TRUS 215,ACCT,3333,01,,40570
AUDITING,"Tedesco, Fred","M, W",15:30 - 16:45,TRUS 216,ACCT,4343,01,,40571
ACCOUNTING INFORMATION SYSTEMS,"Behrend, Matthew J","T, Th",09:30 - 10:45,TRUS 205,ACCT,4346,01,,40572
ACCOUNTING INTERNSHIP,"Elley, Michelle Daley",,,None None,ACCT,4350,01,"INTERNSHIP, TRAVEL-DOMESTIC",40573
RESEARCH IN ACCOUNTING,"Behrend, Matthew J",,,None None,ACCT,4357,01,RESEARCH,40574
ACCOUNTING THEORY &amp; PRACTICE,,,09:00 - 11:50,None None,ACCT,6309,01,,40542
ADVANCED ACCOUNTING PROBLEMS,"Allison, John Leslie",,13:00 - 15:50,None None,ACCT,6310,01,,40543
ACCOUNTING FOR MANAGERS,"Gonzalez de la Fuente, Jesus Mario",,13:00 - 15:50,None None,ACCT,6315,01,,40657
FINANCIAL STATEMENT ANALYSIS,"Xie, Jane Qian",,13:00 - 15:50,TRUS 305,ACCT,6316,01,,40659
AUDITING,,,09:00 - 11:50,None None,ACCT,6343,01,,40544
FOUNDATIONS IN ANIMATION,"Stern, Jeanne Ellen Ganung","M, W",14:30 - 16:20,LIBR 115,ANIM,3328,01,"EXCHANGE ELIGIBLE, TRAVEL-DOMESTIC",40272
COMPOSITING &amp; VISUAL EFFECTS,"Byrne, Bill","M, W",12:00 - 13:50,MOOD 301,ANIM,4335,01,"EXCHANGE ELIGIBLE, TRAVEL-DOMESTIC",40274
PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS I,"Shpall, Cayenne Sarah",W,19:00 - 20:30,None None,EDBA,6301,01,,40062
PRINCIPLES OF APPLIED BEHAVIOR ANALYSIS I,"O&#39;Toole, Cyndi",T,19:00 - 20:30,None None,EDBA,6301,02,,40063
FOUNDATION-BEHAVIORAL ANALYSIS,"Shpall, Cayenne Sarah",W,19:00 - 20:30,None None,EDBA,6302,01,,40064
FOUNDATION-BEHAVIORAL ANALYSIS,"Shpall, Cayenne Sarah",T,19:00 - 20:30,None None,EDBA,6302,02,,40065
CHILD DEVELOPMENT: A BEHAVIORAL SYSTEMS APPROACH,"O&#39;Toole, Cyndi",W,19:00 - 20:30,None None,EDBA,6309,01,,40066
CHILD DEVELOPMENT: A BEHAVIORAL SYSTEMS APPROACH,"O&#39;Toole, Cyndi",T,19:00 - 20:30,None None,EDBA,6309,02,,40067
FUNCTIONAL BEHAVIOR ASSESSMENT,"O&#39;Toole, Cyndi",Th,19:00 - 20:30,None None,EDBA,6314,01,,40068
DEVELOPMENT OF APPLIED BEHAVIORAL ANALYSIS INTERVENTION PROGRAMS,"Oshinski, Molly",Th,19:00 - 20:30,None None,EDBA,6315,01,,40069
ORGANIZATIONAL BEHAVIOR MANAGEMENT,"Watson, Jacob Ray",W,19:00 - 20:30,None None,EDBA,6316,01,,40070
ORGANIZATIONAL BEHAVIOR MANAGEMENT,"Watson, Jacob Ray",T,19:00 - 20:30,None None,EDBA,6316,02,,40071
FOUNDATION ART &amp; DESIGN,"Phan, Tuan Duc","T, Th",12:30 - 14:20,ARTS 113,ARTS,1311,01,"EXCHANGE ELIGIBLE, TRAVEL-DOMESTIC",40275
